"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\bloc.dart", "Dart", 0, 129, 2, 30, 161
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\data_provider.dart", "Dart", 0, 130, 11, 30, 171
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\event.dart", "Dart", 0, 68, 0, 15, 83
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\state.dart", "Dart", 0, 63, 0, 6, 69
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\states\_event_state.dart", "Dart", 0, 26, 0, 9, 35
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\states\_project_state.dart", "Dart", 0, 27, 0, 9, 36
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\states\_task_state.dart", "Dart", 0, 25, 0, 9, 34
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\states\_team_state.dart", "Dart", 0, 26, 0, 9, 35
"c:\Flutter Projects\nascon\nascon\lib\main.dart", "Dart", 0, 10, 0, 0, 10
"c:\Flutter Projects\nascon\nascon\lib\models\chat\chat.dart", "Dart", 0, 41, 0, 4, 45
"c:\Flutter Projects\nascon\nascon\lib\models\event\event.dart", "Dart", 0, 47, 0, 6, 53
"c:\Flutter Projects\nascon\nascon\lib\models\job\job.dart", "Dart", 0, 23, 0, 5, 28
"c:\Flutter Projects\nascon\nascon\lib\models\project\project.dart", "Dart", 0, 59, 0, 6, 65
"c:\Flutter Projects\nascon\nascon\lib\models\task\task.dart", "Dart", 0, 65, 0, 6, 71
"c:\Flutter Projects\nascon\nascon\lib\models\team\team.dart", "Dart", 0, 47, 0, 6, 53
"c:\Flutter Projects\nascon\nascon\lib\models\user\user.dart", "Dart", 0, 41, 0, 5, 46
"c:\Flutter Projects\nascon\nascon\lib\providers\modal_provider.dart", "Dart", 0, 26, 0, 6, 32
"c:\Flutter Projects\nascon\nascon\lib\router\router.dart", "Dart", 0, 8, 0, 0, 8
"c:\Flutter Projects\nascon\nascon\lib\router\routes.dart", "Dart", 0, 2, 0, 0, 2
"c:\Flutter Projects\nascon\nascon\lib\screens\calendar\calendar.dart", "Dart", 0, 4, 0, 0, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\calendar\widgets\_body.dart", "Dart", 0, 19, 0, 2, 21
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\chat.dart", "Dart", 0, 2, 0, 0, 2
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\services\fetch_users.dart", "Dart", 0, 90, 0, 6, 96
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\widgets\_body.dart", "Dart", 0, 21, 2, 3, 26
"c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\chatbox.dart", "Dart", 0, -3, 8, 1, 6
"c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\widgets\_body.dart", "Dart", 0, 73, 143, 22, 238
"c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\_state.dart", "Dart", 0, 8, 0, 2, 10
"c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\dashboard.dart", "Dart", 0, 13, 0, 1, 14
"c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\widgets\_body.dart", "Dart", 0, 28, 0, 4, 32
"c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\widgets\_modal.dart", "Dart", 0, 63, 2, 5, 70
"c:\Flutter Projects\nascon\nascon\lib\screens\project\_state.dart", "Dart", 0, 8, 0, 2, 10
"c:\Flutter Projects\nascon\nascon\lib\screens\project\project.dart", "Dart", 0, 7, 0, 0, 7
"c:\Flutter Projects\nascon\nascon\lib\screens\project\widgets\_body.dart", "Dart", 0, 45, 0, 4, 49
"c:\Flutter Projects\nascon\nascon\lib\screens\project\widgets\_project_tile.dart", "Dart", 0, 6, 0, 0, 6
"c:\Flutter Projects\nascon\nascon\lib\screens\search\search.dart", "Dart", 0, 7, 0, 1, 8
"c:\Flutter Projects\nascon\nascon\lib\screens\search\widgets\_body.dart", "Dart", 0, 7, 0, 1, 8
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_one\widgets\_body.dart", "Dart", 0, 120, 0, 5, 125
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_two\_state.dart", "Dart", 0, 3, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_two\setting_two.dart", "Dart", 0, 16, 0, 2, 18
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_two\widgets\_body.dart", "Dart", 0, 79, 1, 3, 83
"c:\Flutter Projects\nascon\nascon\lib\screens\task\task.dart", "Dart", 0, 3, 0, 0, 3
"c:\Flutter Projects\nascon\nascon\lib\screens\task\widgets\_body.dart", "Dart", 0, 25, 1, 0, 26
"c:\Flutter Projects\nascon\nascon\lib\screens\task\widgets\_scroll_tile.dart", "Dart", 0, -38, 0, -4, -42
"c:\Flutter Projects\nascon\nascon\lib\utils\datetime.dart", "Dart", 0, 6, 0, 2, 8
"c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_button.dart", "Dart", 0, 29, 0, 4, 33
"c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_textfield.dart", "Dart", 0, 7, 0, 0, 7
"c:\Flutter Projects\nascon\nascon\lib\widgets\modal_sheet.dart", "Dart", 0, 258, 2, 11, 271
"c:\Flutter Projects\nascon\nascon\lib\widgets\scroll_tile.dart", "Dart", 0, 38, 0, 4, 42
"c:\Flutter Projects\nascon\nascon\pubspec.yaml", "YAML", 1, 0, 0, 0, 1
"Total", "-", 1, 1807, 172, 243, 2223