"filename", "language", "Perl", "HTML", "Markdown", "YAML", "JavaScript", "JSON", "Dart", "C++", "Swift", "Ruby", "XML", "Java Properties", "comment", "blank", "total"
"c:\Flutter Projects\nascon\nascon\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\bloc.dart.ejs", "HTML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\data_provider.dart.ejs", "HTML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\event.dart.ejs", "HTML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\prompt.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\state.dart.ejs", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Flutter Projects\nascon\nascon\_templates\bloc\with-prompt\states\_test.dart.ejs", "HTML", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38
"c:\Flutter Projects\nascon\nascon\_templates\generator\help\index.ejs.t", "Perl", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Flutter Projects\nascon\nascon\_templates\generator\new\hello.ejs.t", "Perl", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Flutter Projects\nascon\nascon\_templates\generator\with-prompt\hello.ejs.t", "Perl", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Flutter Projects\nascon\nascon\_templates\generator\with-prompt\prompt.ejs.t", "Perl", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Flutter Projects\nascon\nascon\_templates\init\repo\new-repo.ejs.t", "Perl", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Flutter Projects\nascon\nascon\_templates\screen\with-prompt\files\_body.dart.ejs", "HTML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Flutter Projects\nascon\nascon\_templates\screen\with-prompt\files\_state.dart.ejs", "HTML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Flutter Projects\nascon\nascon\_templates\screen\with-prompt\files\screen.dart.ejs", "HTML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Flutter Projects\nascon\nascon\_templates\screen\with-prompt\prompt.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 5, 35
"c:\Flutter Projects\nascon\nascon\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Flutter Projects\nascon\nascon\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Flutter Projects\nascon\nascon\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\Flutter Projects\nascon\nascon\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 11, 1, 46
"c:\Flutter Projects\nascon\nascon\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Flutter Projects\nascon\nascon\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\Flutter Projects\nascon\nascon\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\Flutter Projects\nascon\nascon\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\Flutter Projects\nascon\nascon\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\Flutter Projects\nascon\nascon\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Flutter Projects\nascon\nascon\firebase.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Flutter Projects\nascon\nascon\ios\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 2, 10, 44
"c:\Flutter Projects\nascon\nascon\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Flutter Projects\nascon\nascon\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Flutter Projects\nascon\nascon\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Flutter Projects\nascon\nascon\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Flutter Projects\nascon\nascon\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Flutter Projects\nascon\nascon\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 1, 38
"c:\Flutter Projects\nascon\nascon\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 1, 27
"c:\Flutter Projects\nascon\nascon\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 2, 30, 161
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\data_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 11, 30, 171
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\event.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 15, 83
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\state.dart", "Dart", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 6, 69
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\states\_event_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 9, 35
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\states\_project_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 9, 36
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\states\_task_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 9, 34
"c:\Flutter Projects\nascon\nascon\lib\blocs\job\states\_team_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 9, 35
"c:\Flutter Projects\nascon\nascon\lib\configs\_app_images.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Flutter Projects\nascon\nascon\lib\configs\_app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Flutter Projects\nascon\nascon\lib\configs\_string_ext.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 8, 28
"c:\Flutter Projects\nascon\nascon\lib\configs\configs.dart", "Dart", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Flutter Projects\nascon\nascon\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 12, 4, 69
"c:\Flutter Projects\nascon\nascon\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 6, 55
"c:\Flutter Projects\nascon\nascon\lib\models\chat\chat.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Flutter Projects\nascon\nascon\lib\models\event\event.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 6, 53
"c:\Flutter Projects\nascon\nascon\lib\models\job\job.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Flutter Projects\nascon\nascon\lib\models\project\project.dart", "Dart", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 6, 65
"c:\Flutter Projects\nascon\nascon\lib\models\task\task.dart", "Dart", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 6, 71
"c:\Flutter Projects\nascon\nascon\lib\models\team\team.dart", "Dart", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 6, 53
"c:\Flutter Projects\nascon\nascon\lib\models\user\user.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Flutter Projects\nascon\nascon\lib\providers\modal_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Flutter Projects\nascon\nascon\lib\router\router.dart", "Dart", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 7, 66
"c:\Flutter Projects\nascon\nascon\lib\router\routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Flutter Projects\nascon\nascon\lib\screens\calendar\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Flutter Projects\nascon\nascon\lib\screens\calendar\calendar.dart", "Dart", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Flutter Projects\nascon\nascon\lib\screens\calendar\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 7, 15, 160
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\chat.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\services\fetch_users.dart", "Dart", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 6, 96
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 2, 5, 61
"c:\Flutter Projects\nascon\nascon\lib\screens\chat\widgets\_chat_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 3, 44
"c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\chatbox.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 8, 3, 29
"c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 143, 24, 335
"c:\Flutter Projects\nascon\nascon\lib\screens\chatbox\widgets\_message_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\dashboard.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Flutter Projects\nascon\nascon\lib\screens\dashboard\widgets\_modal.dart", "Dart", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 2, 5, 70
"c:\Flutter Projects\nascon\nascon\lib\screens\notification\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\notification\notification.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Flutter Projects\nascon\nascon\lib\screens\notification\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\project\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Flutter Projects\nascon\nascon\lib\screens\project\project.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Flutter Projects\nascon\nascon\lib\screens\project\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 7, 82
"c:\Flutter Projects\nascon\nascon\lib\screens\project\widgets\_project_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 3, 82
"c:\Flutter Projects\nascon\nascon\lib\screens\search\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\search\search.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Flutter Projects\nascon\nascon\lib\screens\search\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 6, 86
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_one\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_one\setting_one.dart", "Dart", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_one\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 7, 171
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_two\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_two\setting_two.dart", "Dart", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Flutter Projects\nascon\nascon\lib\screens\setting_two\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 1, 3, 83
"c:\Flutter Projects\nascon\nascon\lib\screens\settings\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\settings\settings.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Flutter Projects\nascon\nascon\lib\screens\settings\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\task\_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Flutter Projects\nascon\nascon\lib\screens\task\task.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Flutter Projects\nascon\nascon\lib\screens\task\widgets\_body.dart", "Dart", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 1, 9, 106
"c:\Flutter Projects\nascon\nascon\lib\screens\task\widgets\_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 3, 22
"c:\Flutter Projects\nascon\nascon\lib\static\static.dart", "Dart", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Flutter Projects\nascon\nascon\lib\utils\datetime.dart", "Dart", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_appbar.dart", "Dart", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 4, 44
"c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_icon_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Flutter Projects\nascon\nascon\lib\widgets\core\app_textfield.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 3, 6, 57
"c:\Flutter Projects\nascon\nascon\lib\widgets\core\bottom_navigation_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Flutter Projects\nascon\nascon\lib\widgets\modal_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 2, 11, 271
"c:\Flutter Projects\nascon\nascon\lib\widgets\scroll_tile.dart", "Dart", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Flutter Projects\nascon\nascon\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 5, 16
"c:\Flutter Projects\nascon\nascon\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"c:\Flutter Projects\nascon\nascon\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Flutter Projects\nascon\nascon\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 21, 27, 131
"c:\Flutter Projects\nascon\nascon\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7, 5, 19
"c:\Flutter Projects\nascon\nascon\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 4, 27
"c:\Flutter Projects\nascon\nascon\macos\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 10, 43
"c:\Flutter Projects\nascon\nascon\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Flutter Projects\nascon\nascon\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Flutter Projects\nascon\nascon\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Flutter Projects\nascon\nascon\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Flutter Projects\nascon\nascon\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Flutter Projects\nascon\nascon\pubspec.yaml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 59, 13, 102
"c:\Flutter Projects\nascon\nascon\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Flutter Projects\nascon\nascon\web\index.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Flutter Projects\nascon\nascon\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Flutter Projects\nascon\nascon\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 5, 24
"c:\Flutter Projects\nascon\nascon\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"c:\Flutter Projects\nascon\nascon\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 16, 72
"c:\Flutter Projects\nascon\nascon\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 9, 34
"c:\Flutter Projects\nascon\nascon\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 4, 10, 44
"c:\Flutter Projects\nascon\nascon\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 2, 17
"c:\Flutter Projects\nascon\nascon\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 10, 66
"c:\Flutter Projects\nascon\nascon\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 6, 6, 20
"c:\Flutter Projects\nascon\nascon\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 24, 55, 289
"c:\Flutter Projects\nascon\nascon\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 48, 118, 13, 33, 46, 278, 3025, 556, 69, 64, 470, 8, 501, 724, 5953